district,date,day_of_week,month,is_weekend,is_holiday,holiday_name,holiday_proximity,season,district_type,waste_kg
Kathmandu-Core,2024-01-07,6,1,1,0,,8,winter,commercial,3244.6
Lalitpur,2024-01-07,6,1,1,0,,8,winter,commercial,3009.4
Bhaktapur,2024-01-07,6,1,1,0,,8,winter,commercial,2747.4
Kirtipur,2024-01-07,6,1,1,0,,8,winter,residential,1664.9
Madhyapur Thimi,2024-01-07,6,1,1,0,,8,winter,residential,2271.8
Budhanilkantha,2024-01-07,6,1,1,0,,8,winter,suburban,1381.3
Tokha,2024-01-07,6,1,1,0,,8,winter,suburban,981.4
Chandragiri,2024-01-07,6,1,1,0,,8,winter,rural,635.3
Godawari,2024-01-07,6,1,1,0,,8,winter,rural,540.0
Dakshinkali,2024-01-07,6,1,1,0,,8,winter,rural,415.2
Kathmandu-Core,2024-01-08,0,1,0,0,,7,winter,commercial,4014.4
Lalitpur,2024-01-08,0,1,0,0,,7,winter,commercial,3848.6
Bhaktapur,2024-01-08,0,1,0,0,,7,winter,commercial,2724.2
Kirtipur,2024-01-08,0,1,0,0,,7,winter,residential,1828.0
Madhyapur Thimi,2024-01-08,0,1,0,0,,7,winter,residential,1197.0
Budhanilkantha,2024-01-08,0,1,0,0,,7,winter,suburban,1127.2
Tokha,2024-01-08,0,1,0,0,,7,winter,suburban,863.9
Chandragiri,2024-01-08,0,1,0,0,,7,winter,rural,494.6
Godawari,2024-01-08,0,1,0,0,,7,winter,rural,432.2
Dakshinkali,2024-01-08,0,1,0,0,,7,winter,rural,260.4
Kathmandu-Core,2024-01-09,1,1,0,0,,6,winter,commercial,3943.2
Lalitpur,2024-01-09,1,1,0,0,,6,winter,commercial,3566.6
Bhaktapur,2024-01-09,1,1,0,0,,6,winter,commercial,3390.8
Kirtipur,2024-01-09,1,1,0,0,,6,winter,residential,1519.2
Madhyapur Thimi,2024-01-09,1,1,0,0,,6,winter,residential,1625.4
Budhanilkantha,2024-01-09,1,1,0,0,,6,winter,suburban,1015.0
Tokha,2024-01-09,1,1,0,0,,6,winter,suburban,998.9
Chandragiri,2024-01-09,1,1,0,0,,6,winter,rural,561.3
Godawari,2024-01-09,1,1,0,0,,6,winter,rural,421.4
Dakshinkali,2024-01-09,1,1,0,0,,6,winter,rural,382.2
Kathmandu-Core,2024-01-10,2,1,0,0,,5,winter,commercial,4097.2
Lalitpur,2024-01-10,2,1,0,0,,5,winter,commercial,3817.5
Bhaktapur,2024-01-10,2,1,0,0,,5,winter,commercial,2637.4
Kirtipur,2024-01-10,2,1,0,0,,5,winter,residential,1556.3
Madhyapur Thimi,2024-01-10,2,1,0,0,,5,winter,residential,1715.3
Budhanilkantha,2024-01-10,2,1,0,0,,5,winter,suburban,890.3
Tokha,2024-01-10,2,1,0,0,,5,winter,suburban,932.0
Chandragiri,2024-01-10,2,1,0,0,,5,winter,rural,556.9
Godawari,2024-01-10,2,1,0,0,,5,winter,rural,450.3
Dakshinkali,2024-01-10,2,1,0,0,,5,winter,rural,349.9
Kathmandu-Core,2024-01-11,3,1,0,0,,4,winter,commercial,3362.1
Lalitpur,2024-01-11,3,1,0,0,,4,winter,commercial,3247.4
Bhaktapur,2024-01-11,3,1,0,0,,4,winter,commercial,2761.6
Kirtipur,2024-01-11,3,1,0,0,,4,winter,residential,1464.0
Madhyapur Thimi,2024-01-11,3,1,0,0,,4,winter,residential,1765.2
Budhanilkantha,2024-01-11,3,1,0,0,,4,winter,suburban,1132.4
Tokha,2024-01-11,3,1,0,0,,4,winter,suburban,1103.7
Chandragiri,2024-01-11,3,1,0,0,,4,winter,rural,551.3
Godawari,2024-01-11,3,1,0,0,,4,winter,rural,463.9
Dakshinkali,2024-01-11,3,1,0,0,,4,winter,rural,356.8
Kathmandu-Core,2024-01-12,4,1,0,0,,3,winter,commercial,3366.9
Lalitpur,2024-01-12,4,1,0,0,,3,winter,commercial,3681.8
Bhaktapur,2024-01-12,4,1,0,0,,3,winter,commercial,3132.9
Kirtipur,2024-01-12,4,1,0,0,,3,winter,residential,2266.8
Madhyapur Thimi,2024-01-12,4,1,0,0,,3,winter,residential,1899.1
Budhanilkantha,2024-01-12,4,1,0,0,,3,winter,suburban,1208.6
Tokha,2024-01-12,4,1,0,0,,3,winter,suburban,968.0
Chandragiri,2024-01-12,4,1,0,0,,3,winter,rural,501.4
Godawari,2024-01-12,4,1,0,0,,3,winter,rural,552.6
Dakshinkali,2024-01-12,4,1,0,0,,3,winter,rural,423.9
Kathmandu-Core,2024-01-13,5,1,1,0,,2,winter,commercial,4900.1
Lalitpur,2024-01-13,5,1,1,0,,2,winter,commercial,3564.7
Bhaktapur,2024-01-13,5,1,1,0,,2,winter,commercial,4811.7
Kirtipur,2024-01-13,5,1,1,0,,2,winter,residential,2102.1
Madhyapur Thimi,2024-01-13,5,1,1,0,,2,winter,residential,2880.5
Budhanilkantha,2024-01-13,5,1,1,0,,2,winter,suburban,1950.4
Tokha,2024-01-13,5,1,1,0,,2,winter,suburban,1134.0
Chandragiri,2024-01-13,5,1,1,0,,2,winter,rural,687.0
Godawari,2024-01-13,5,1,1,0,,2,winter,rural,680.8
Dakshinkali,2024-01-13,5,1,1,0,,2,winter,rural,549.7
Kathmandu-Core,2024-01-14,6,1,1,0,,1,winter,commercial,3642.5
Lalitpur,2024-01-14,6,1,1,0,,1,winter,commercial,4034.3
Bhaktapur,2024-01-14,6,1,1,0,,1,winter,commercial,3593.4
Kirtipur,2024-01-14,6,1,1,0,,1,winter,residential,2670.8
Madhyapur Thimi,2024-01-14,6,1,1,0,,1,winter,residential,2394.1
Budhanilkantha,2024-01-14,6,1,1,0,,1,winter,suburban,1831.6
Tokha,2024-01-14,6,1,1,0,,1,winter,suburban,1166.0
Chandragiri,2024-01-14,6,1,1,0,,1,winter,rural,708.6
Godawari,2024-01-14,6,1,1,0,,1,winter,rural,738.4
Dakshinkali,2024-01-14,6,1,1,0,,1,winter,rural,498.6
Kathmandu-Core,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,5928.8
Lalitpur,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,5637.9
Bhaktapur,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,3312.3
Kirtipur,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,2359.6
Madhyapur Thimi,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,2645.0
Budhanilkantha,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,suburban,1683.4
Tokha,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,suburban,1092.1
Chandragiri,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,647.6
Godawari,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,681.4
Dakshinkali,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,531.3
Kathmandu-Core,2024-01-16,1,1,0,0,,1,winter,commercial,5423.3
Lalitpur,2024-01-16,1,1,0,0,,1,winter,commercial,4630.8
Bhaktapur,2024-01-16,1,1,0,0,,1,winter,commercial,3438.5
Kirtipur,2024-01-16,1,1,0,0,,1,winter,residential,2164.7
Madhyapur Thimi,2024-01-16,1,1,0,0,,1,winter,residential,2422.3
Budhanilkantha,2024-01-16,1,1,0,0,,1,winter,suburban,1283.6
Tokha,2024-01-16,1,1,0,0,,1,winter,suburban,1432.0
Chandragiri,2024-01-16,1,1,0,0,,1,winter,rural,741.9
Godawari,2024-01-16,1,1,0,0,,1,winter,rural,501.4
Dakshinkali,2024-01-16,1,1,0,0,,1,winter,rural,504.9
Kathmandu-Core,2024-01-17,2,1,0,0,,2,winter,commercial,4649.2
Lalitpur,2024-01-17,2,1,0,0,,2,winter,commercial,4865.9
Bhaktapur,2024-01-17,2,1,0,0,,2,winter,commercial,4264.5
Kirtipur,2024-01-17,2,1,0,0,,2,winter,residential,1898.6
Madhyapur Thimi,2024-01-17,2,1,0,0,,2,winter,residential,2610.5
Budhanilkantha,2024-01-17,2,1,0,0,,2,winter,suburban,1473.5
Tokha,2024-01-17,2,1,0,0,,2,winter,suburban,1285.4
Chandragiri,2024-01-17,2,1,0,0,,2,winter,rural,861.8
Godawari,2024-01-17,2,1,0,0,,2,winter,rural,567.8
Dakshinkali,2024-01-17,2,1,0,0,,2,winter,rural,425.7
Kathmandu-Core,2024-01-18,3,1,0,0,,3,winter,commercial,3617.7
Lalitpur,2024-01-18,3,1,0,0,,3,winter,commercial,3085.2
Bhaktapur,2024-01-18,3,1,0,0,,3,winter,commercial,2853.4
Kirtipur,2024-01-18,3,1,0,0,,3,winter,residential,1686.3
Madhyapur Thimi,2024-01-18,3,1,0,0,,3,winter,residential,1859.8
Budhanilkantha,2024-01-18,3,1,0,0,,3,winter,suburban,1187.2
Tokha,2024-01-18,3,1,0,0,,3,winter,suburban,901.4
Chandragiri,2024-01-18,3,1,0,0,,3,winter,rural,634.2
Godawari,2024-01-18,3,1,0,0,,3,winter,rural,435.7
Dakshinkali,2024-01-18,3,1,0,0,,3,winter,rural,468.0
Kathmandu-Core,2024-01-19,4,1,0,0,,4,winter,commercial,4702.4
Lalitpur,2024-01-19,4,1,0,0,,4,winter,commercial,3313.7
Bhaktapur,2024-01-19,4,1,0,0,,4,winter,commercial,2710.7
Kirtipur,2024-01-19,4,1,0,0,,4,winter,residential,1850.9
Madhyapur Thimi,2024-01-19,4,1,0,0,,4,winter,residential,1891.9
Budhanilkantha,2024-01-19,4,1,0,0,,4,winter,suburban,1266.3
Tokha,2024-01-19,4,1,0,0,,4,winter,suburban,1027.2
Chandragiri,2024-01-19,4,1,0,0,,4,winter,rural,578.1
Godawari,2024-01-19,4,1,0,0,,4,winter,rural,436.6
Dakshinkali,2024-01-19,4,1,0,0,,4,winter,rural,318.1
Kathmandu-Core,2024-01-20,5,1,1,0,,5,winter,commercial,3258.0
Lalitpur,2024-01-20,5,1,1,0,,5,winter,commercial,3394.3
Bhaktapur,2024-01-20,5,1,1,0,,5,winter,commercial,3249.4
Kirtipur,2024-01-20,5,1,1,0,,5,winter,residential,1653.4
Madhyapur Thimi,2024-01-20,5,1,1,0,,5,winter,residential,2113.0
Budhanilkantha,2024-01-20,5,1,1,0,,5,winter,suburban,1242.9
Tokha,2024-01-20,5,1,1,0,,5,winter,suburban,885.0
Chandragiri,2024-01-20,5,1,1,0,,5,winter,rural,577.5
Godawari,2024-01-20,5,1,1,0,,5,winter,rural,521.1
Dakshinkali,2024-01-20,5,1,1,0,,5,winter,rural,388.3
Kathmandu-Core,2024-01-21,6,1,1,0,,6,winter,commercial,3590.3
Lalitpur,2024-01-21,6,1,1,0,,6,winter,commercial,3285.1
Bhaktapur,2024-01-21,6,1,1,0,,6,winter,commercial,3579.7
Kirtipur,2024-01-21,6,1,1,0,,6,winter,residential,2189.8
Madhyapur Thimi,2024-01-21,6,1,1,0,,6,winter,residential,1727.8
Budhanilkantha,2024-01-21,6,1,1,0,,6,winter,suburban,1054.3
Tokha,2024-01-21,6,1,1,0,,6,winter,suburban,1051.2
Chandragiri,2024-01-21,6,1,1,0,,6,winter,rural,602.0
Godawari,2024-01-21,6,1,1,0,,6,winter,rural,549.5
Dakshinkali,2024-01-21,6,1,1,0,,6,winter,rural,585.0
Kathmandu-Core,2024-01-22,0,1,0,0,,7,winter,commercial,4111.1
Lalitpur,2024-01-22,0,1,0,0,,7,winter,commercial,3691.7
Bhaktapur,2024-01-22,0,1,0,0,,7,winter,commercial,3049.2
Kirtipur,2024-01-22,0,1,0,0,,7,winter,residential,1659.3
Madhyapur Thimi,2024-01-22,0,1,0,0,,7,winter,residential,1645.3
Budhanilkantha,2024-01-22,0,1,0,0,,7,winter,suburban,1119.4
Tokha,2024-01-22,0,1,0,0,,7,winter,suburban,775.7
Chandragiri,2024-01-22,0,1,0,0,,7,winter,rural,498.4
Godawari,2024-01-22,0,1,0,0,,7,winter,rural,402.6
Dakshinkali,2024-01-22,0,1,0,0,,7,winter,rural,345.4
Kathmandu-Core,2024-01-23,1,1,0,0,,7,winter,commercial,5174.9
Lalitpur,2024-01-23,1,1,0,0,,7,winter,commercial,2653.7
Bhaktapur,2024-01-23,1,1,0,0,,7,winter,commercial,3117.2
Kirtipur,2024-01-23,1,1,0,0,,7,winter,residential,1306.5
Madhyapur Thimi,2024-01-23,1,1,0,0,,7,winter,residential,1698.1
Budhanilkantha,2024-01-23,1,1,0,0,,7,winter,suburban,1221.1
Tokha,2024-01-23,1,1,0,0,,7,winter,suburban,906.9
Chandragiri,2024-01-23,1,1,0,0,,7,winter,rural,470.2
Godawari,2024-01-23,1,1,0,0,,7,winter,rural,411.4
Dakshinkali,2024-01-23,1,1,0,0,,7,winter,rural,389.4
Kathmandu-Core,2024-01-24,2,1,0,0,,6,winter,commercial,3695.0
Lalitpur,2024-01-24,2,1,0,0,,6,winter,commercial,3508.8
Bhaktapur,2024-01-24,2,1,0,0,,6,winter,commercial,2895.7
Kirtipur,2024-01-24,2,1,0,0,,6,winter,residential,1493.3
Madhyapur Thimi,2024-01-24,2,1,0,0,,6,winter,residential,2263.1
Budhanilkantha,2024-01-24,2,1,0,0,,6,winter,suburban,1162.2
Tokha,2024-01-24,2,1,0,0,,6,winter,suburban,681.3
Chandragiri,2024-01-24,2,1,0,0,,6,winter,rural,552.1
Godawari,2024-01-24,2,1,0,0,,6,winter,rural,414.3
Dakshinkali,2024-01-24,2,1,0,0,,6,winter,rural,396.8
Kathmandu-Core,2024-01-25,3,1,0,0,,5,winter,commercial,3664.8
Lalitpur,2024-01-25,3,1,0,0,,5,winter,commercial,3372.9
Bhaktapur,2024-01-25,3,1,0,0,,5,winter,commercial,3054.5
Kirtipur,2024-01-25,3,1,0,0,,5,winter,residential,1788.3
Madhyapur Thimi,2024-01-25,3,1,0,0,,5,winter,residential,1540.7
Budhanilkantha,2024-01-25,3,1,0,0,,5,winter,suburban,1036.6
Tokha,2024-01-25,3,1,0,0,,5,winter,suburban,848.7
Chandragiri,2024-01-25,3,1,0,0,,5,winter,rural,497.7
Godawari,2024-01-25,3,1,0,0,,5,winter,rural,545.3
Dakshinkali,2024-01-25,3,1,0,0,,5,winter,rural,377.5
Kathmandu-Core,2024-01-26,4,1,0,0,,4,winter,commercial,3712.2
Lalitpur,2024-01-26,4,1,0,0,,4,winter,commercial,4100.4
Bhaktapur,2024-01-26,4,1,0,0,,4,winter,commercial,3902.5
Kirtipur,2024-01-26,4,1,0,0,,4,winter,residential,1966.4
Madhyapur Thimi,2024-01-26,4,1,0,0,,4,winter,residential,1589.6
Budhanilkantha,2024-01-26,4,1,0,0,,4,winter,suburban,1098.6
Tokha,2024-01-26,4,1,0,0,,4,winter,suburban,1119.8
Chandragiri,2024-01-26,4,1,0,0,,4,winter,rural,533.7
Godawari,2024-01-26,4,1,0,0,,4,winter,rural,511.9
Dakshinkali,2024-01-26,4,1,0,0,,4,winter,rural,424.9
Kathmandu-Core,2024-01-27,5,1,1,0,,3,winter,commercial,3059.6
Lalitpur,2024-01-27,5,1,1,0,,3,winter,commercial,3056.0
Bhaktapur,2024-01-27,5,1,1,0,,3,winter,commercial,2217.6
Kirtipur,2024-01-27,5,1,1,0,,3,winter,residential,1705.0
Madhyapur Thimi,2024-01-27,5,1,1,0,,3,winter,residential,2007.3
Budhanilkantha,2024-01-27,5,1,1,0,,3,winter,suburban,1010.1
Tokha,2024-01-27,5,1,1,0,,3,winter,suburban,1183.9
Chandragiri,2024-01-27,5,1,1,0,,3,winter,rural,469.7
Godawari,2024-01-27,5,1,1,0,,3,winter,rural,490.2
Dakshinkali,2024-01-27,5,1,1,0,,3,winter,rural,457.1
Kathmandu-Core,2024-01-28,6,1,1,0,,2,winter,commercial,4037.9
Lalitpur,2024-01-28,6,1,1,0,,2,winter,commercial,2547.6
Bhaktapur,2024-01-28,6,1,1,0,,2,winter,commercial,3610.2
Kirtipur,2024-01-28,6,1,1,0,,2,winter,residential,1946.4
Madhyapur Thimi,2024-01-28,6,1,1,0,,2,winter,residential,1826.2
Budhanilkantha,2024-01-28,6,1,1,0,,2,winter,suburban,1253.9
Tokha,2024-01-28,6,1,1,0,,2,winter,suburban,1013.6
Chandragiri,2024-01-28,6,1,1,0,,2,winter,rural,526.2
Godawari,2024-01-28,6,1,1,0,,2,winter,rural,521.8
Dakshinkali,2024-01-28,6,1,1,0,,2,winter,rural,429.2
Kathmandu-Core,2024-01-29,0,1,0,0,,1,winter,commercial,3899.9
Lalitpur,2024-01-29,0,1,0,0,,1,winter,commercial,3507.2
Bhaktapur,2024-01-29,0,1,0,0,,1,winter,commercial,3256.7
Kirtipur,2024-01-29,0,1,0,0,,1,winter,residential,1310.4
Madhyapur Thimi,2024-01-29,0,1,0,0,,1,winter,residential,2147.7
Budhanilkantha,2024-01-29,0,1,0,0,,1,winter,suburban,785.7
Tokha,2024-01-29,0,1,0,0,,1,winter,suburban,839.4
Chandragiri,2024-01-29,0,1,0,0,,1,winter,rural,549.2
Godawari,2024-01-29,0,1,0,0,,1,winter,rural,441.9
Dakshinkali,2024-01-29,0,1,0,0,,1,winter,rural,316.4
Kathmandu-Core,2024-01-30,1,1,0,1,Martyrs Day,0,winter,commercial,4738.6
Lalitpur,2024-01-30,1,1,0,1,Martyrs Day,0,winter,commercial,3861.2
Bhaktapur,2024-01-30,1,1,0,1,Martyrs Day,0,winter,commercial,3211.6
Kirtipur,2024-01-30,1,1,0,1,Martyrs Day,0,winter,residential,2142.2
Madhyapur Thimi,2024-01-30,1,1,0,1,Martyrs Day,0,winter,residential,2252.5
Budhanilkantha,2024-01-30,1,1,0,1,Martyrs Day,0,winter,suburban,1188.2
Tokha,2024-01-30,1,1,0,1,Martyrs Day,0,winter,suburban,1196.6
Chandragiri,2024-01-30,1,1,0,1,Martyrs Day,0,winter,rural,671.9
Godawari,2024-01-30,1,1,0,1,Martyrs Day,0,winter,rural,592.7
Dakshinkali,2024-01-30,1,1,0,1,Martyrs Day,0,winter,rural,464.6
Kathmandu-Core,2024-01-31,2,1,0,0,,1,winter,commercial,3647.1
Lalitpur,2024-01-31,2,1,0,0,,1,winter,commercial,3190.1
Bhaktapur,2024-01-31,2,1,0,0,,1,winter,commercial,3138.3
Kirtipur,2024-01-31,2,1,0,0,,1,winter,residential,1738.7
Madhyapur Thimi,2024-01-31,2,1,0,0,,1,winter,residential,1795.5
Budhanilkantha,2024-01-31,2,1,0,0,,1,winter,suburban,1095.2
Tokha,2024-01-31,2,1,0,0,,1,winter,suburban,1038.0
Chandragiri,2024-01-31,2,1,0,0,,1,winter,rural,501.7
Godawari,2024-01-31,2,1,0,0,,1,winter,rural,479.5
Dakshinkali,2024-01-31,2,1,0,0,,1,winter,rural,351.3
Kathmandu-Core,2024-02-01,3,2,0,0,,2,winter,commercial,4031.9
Lalitpur,2024-02-01,3,2,0,0,,2,winter,commercial,3957.0
Bhaktapur,2024-02-01,3,2,0,0,,2,winter,commercial,3235.6
Kirtipur,2024-02-01,3,2,0,0,,2,winter,residential,1817.7
Madhyapur Thimi,2024-02-01,3,2,0,0,,2,winter,residential,2128.2
Budhanilkantha,2024-02-01,3,2,0,0,,2,winter,suburban,1106.8
Tokha,2024-02-01,3,2,0,0,,2,winter,suburban,995.3
Chandragiri,2024-02-01,3,2,0,0,,2,winter,rural,531.4
Godawari,2024-02-01,3,2,0,0,,2,winter,rural,477.9
Dakshinkali,2024-02-01,3,2,0,0,,2,winter,rural,362.3
Kathmandu-Core,2024-02-02,4,2,0,0,,3,winter,commercial,4523.2
Lalitpur,2024-02-02,4,2,0,0,,3,winter,commercial,4045.3
Bhaktapur,2024-02-02,4,2,0,0,,3,winter,commercial,2867.3
Kirtipur,2024-02-02,4,2,0,0,,3,winter,residential,2237.5
Madhyapur Thimi,2024-02-02,4,2,0,0,,3,winter,residential,1747.3
Budhanilkantha,2024-02-02,4,2,0,0,,3,winter,suburban,1018.6
Tokha,2024-02-02,4,2,0,0,,3,winter,suburban,1131.7
Chandragiri,2024-02-02,4,2,0,0,,3,winter,rural,652.8
Godawari,2024-02-02,4,2,0,0,,3,winter,rural,534.0
Dakshinkali,2024-02-02,4,2,0,0,,3,winter,rural,427.4
Kathmandu-Core,2024-02-03,5,2,1,0,,4,winter,commercial,3513.8
Lalitpur,2024-02-03,5,2,1,0,,4,winter,commercial,2807.6
Bhaktapur,2024-02-03,5,2,1,0,,4,winter,commercial,3267.9
Kirtipur,2024-02-03,5,2,1,0,,4,winter,residential,1825.7
Madhyapur Thimi,2024-02-03,5,2,1,0,,4,winter,residential,2363.6
Budhanilkantha,2024-02-03,5,2,1,0,,4,winter,suburban,1193.0
Tokha,2024-02-03,5,2,1,0,,4,winter,suburban,911.8
Chandragiri,2024-02-03,5,2,1,0,,4,winter,rural,557.2
Godawari,2024-02-03,5,2,1,0,,4,winter,rural,555.2
Dakshinkali,2024-02-03,5,2,1,0,,4,winter,rural,428.9
Kathmandu-Core,2024-02-04,6,2,1,0,,5,winter,commercial,3171.8
Lalitpur,2024-02-04,6,2,1,0,,5,winter,commercial,3238.4
Bhaktapur,2024-02-04,6,2,1,0,,5,winter,commercial,3333.6
Kirtipur,2024-02-04,6,2,1,0,,5,winter,residential,1866.3
Madhyapur Thimi,2024-02-04,6,2,1,0,,5,winter,residential,1996.4
Budhanilkantha,2024-02-04,6,2,1,0,,5,winter,suburban,1248.2
Tokha,2024-02-04,6,2,1,0,,5,winter,suburban,836.1
Chandragiri,2024-02-04,6,2,1,0,,5,winter,rural,481.7
Godawari,2024-02-04,6,2,1,0,,5,winter,rural,483.4
Dakshinkali,2024-02-04,6,2,1,0,,5,winter,rural,448.2
Kathmandu-Core,2024-02-05,0,2,0,0,,6,winter,commercial,4079.7
Lalitpur,2024-02-05,0,2,0,0,,6,winter,commercial,3909.2
Bhaktapur,2024-02-05,0,2,0,0,,6,winter,commercial,3084.6
Kirtipur,2024-02-05,0,2,0,0,,6,winter,residential,1543.0
Madhyapur Thimi,2024-02-05,0,2,0,0,,6,winter,residential,1744.0
Budhanilkantha,2024-02-05,0,2,0,0,,6,winter,suburban,922.6
Tokha,2024-02-05,0,2,0,0,,6,winter,suburban,872.1
Chandragiri,2024-02-05,0,2,0,0,,6,winter,rural,506.2
Godawari,2024-02-05,0,2,0,0,,6,winter,rural,453.9
Dakshinkali,2024-02-05,0,2,0,0,,6,winter,rural,314.9
Kathmandu-Core,2024-02-06,1,2,0,0,,7,winter,commercial,4398.0
Lalitpur,2024-02-06,1,2,0,0,,7,winter,commercial,4139.0
Bhaktapur,2024-02-06,1,2,0,0,,7,winter,commercial,2905.6
Kirtipur,2024-02-06,1,2,0,0,,7,winter,residential,1735.8
Madhyapur Thimi,2024-02-06,1,2,0,0,,7,winter,residential,1992.4
Budhanilkantha,2024-02-06,1,2,0,0,,7,winter,suburban,1050.8
Tokha,2024-02-06,1,2,0,0,,7,winter,suburban,944.7
Chandragiri,2024-02-06,1,2,0,0,,7,winter,rural,552.8
Godawari,2024-02-06,1,2,0,0,,7,winter,rural,465.4
Dakshinkali,2024-02-06,1,2,0,0,,7,winter,rural,333.9
Kathmandu-Core,2024-02-07,2,2,0,0,,8,winter,commercial,4152.2
Lalitpur,2024-02-07,2,2,0,0,,8,winter,commercial,3704.9
